epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,231.025,0.61806,0.87962,0.97483,0.6076,0.56215,0.61443,0.35368,1.52843,1.51716,1.60816,0.004555,0.004555,0.004555
112,233.219,0.61964,0.86515,0.95618,0.63165,0.55047,0.60635,0.34007,1.60292,1.54316,1.66247,0.0045055,0.0045055,0.0045055
113,235.261,0.64393,0.96512,0.99041,0.66409,0.52148,0.61302,0.35892,1.53186,1.51271,1.59649,0.004456,0.004456,0.004456
114,237.291,0.60383,0.90423,0.96045,0.73118,0.52379,0.61449,0.34348,1.62353,1.53031,1.67885,0.0044065,0.0044065,0.0044065
115,239.288,0.61316,0.87436,0.95533,0.68745,0.54673,0.62954,0.36543,1.5384,1.51792,1.60524,0.004357,0.004357,0.004357
116,241.366,0.61618,0.86684,0.9947,0.64106,0.57565,0.62684,0.35756,1.58071,1.51063,1.65554,0.0043075,0.0043075,0.0043075
117,243.369,0.59618,0.85921,0.95105,0.66883,0.55826,0.62518,0.35948,1.55204,1.51925,1.62644,0.004258,0.004258,0.004258
118,245.44,0.5911,0.87313,0.95039,0.62512,0.5461,0.60437,0.34013,1.60782,1.51994,1.66271,0.0042085,0.0042085,0.0042085
119,247.492,0.61773,0.86263,0.96189,0.68722,0.55846,0.62649,0.35815,1.52644,1.51,1.57412,0.004159,0.004159,0.004159
120,249.467,0.56534,0.84775,0.91747,0.62168,0.56492,0.61564,0.34645,1.57848,1.49831,1.63801,0.0041095,0.0041095,0.0041095
121,251.461,0.59259,0.81716,0.92992,0.58952,0.59655,0.62605,0.36708,1.52547,1.48243,1.60916,0.00406,0.00406,0.00406
122,253.476,0.55748,0.80624,0.92691,0.6024,0.60624,0.62705,0.35209,1.59274,1.46588,1.68866,0.0040105,0.0040105,0.0040105
123,255.465,0.55636,0.809,0.92375,0.6024,0.60624,0.62705,0.35209,1.59274,1.46588,1.68866,0.003961,0.003961,0.003961
124,257.608,0.61133,0.82296,0.93512,0.59273,0.62089,0.62603,0.36059,1.51315,1.48006,1.62765,0.0039115,0.0039115,0.0039115
125,259.603,0.56694,0.85645,0.95728,0.58098,0.60607,0.61689,0.34998,1.55491,1.4726,1.67346,0.003862,0.003862,0.003862
126,261.644,0.58636,0.81528,0.95915,0.70481,0.55196,0.62138,0.36467,1.51825,1.49597,1.60912,0.0038125,0.0038125,0.0038125
127,263.646,0.58846,0.80603,0.9626,0.65026,0.57863,0.61441,0.35297,1.56074,1.48111,1.63391,0.003763,0.003763,0.003763
